,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
128,Fortuna,1,US,1563663693,77,40.6,-124.16,64.99,11.41
129,Kizilskoye,57,RU,1563663695,93,52.73,58.89,61.66,8.32
130,Sechura,21,PE,1563663512,87,-5.56,-80.82,64.18,12.08
131,Polson,40,US,1563663697,45,47.69,-114.16,73.99,3.36
132,Milkovo,0,BG,1563663699,56,41.53,24.68,77.0,4.7
133,Kapaa,75,US,1563663466,70,22.08,-159.32,86.0,14.99
134,Kiama,0,AU,1563663701,57,-34.67,150.86,64.0,1.12
135,Tilichiki,100,RU,1563663703,98,60.47,166.1,50.68,5.12
136,Clyde River,90,CA,1563663704,100,70.47,-68.59,39.2,11.41
137,Vardo,1,US,1563663706,56,39.62,-77.74,96.01,4.7
138,Telford,0,GB,1563663708,72,52.68,-2.45,61.0,5.82
139,Sena Madureira,47,BR,1563663709,62,-9.07,-68.66,77.32,0.11
140,Kununurra,73,AU,1563663710,77,-15.77,128.74,59.0,3.36
141,Hambantota,100,LK,1563663712,77,6.12,81.12,81.64,19.71
142,Lalmohan,84,BD,1563663713,87,22.34,90.74,82.18,4.68
143,Qaanaaq,99,GL,1563663714,86,77.48,-69.36,40.42,1.99
144,Priargunsk,93,RU,1563663716,94,50.37,119.09,64.9,5.53
145,Khatanga,17,RU,1563663717,44,71.98,102.47,72.46,10.83
146,Yuzhou,33,CN,1563663718,83,34.16,113.47,78.8,2.24
147,Saint George,20,GR,1563663720,60,39.45,22.34,78.01,1.7
148,Praia,0,BR,1563663721,63,-20.25,-43.81,62.6,13.87
149,Qiongshan,40,CN,1563663723,94,20.01,110.35,80.6,4.47
150,Dikson,79,RU,1563663724,100,73.51,80.55,42.4,10.0
151,Butaritari,54,KI,1563663726,69,3.07,172.79,84.7,7.14
152,Rawson,100,AR,1563663727,86,-43.3,-65.11,42.58,23.6
153,Independence,1,US,1563663621,47,39.09,-94.42,98.01,8.05
154,Severo-Kurilsk,66,RU,1563663730,95,50.68,156.12,45.82,11.34
155,Hasaki,75,JP,1563663731,94,35.73,140.83,75.2,8.05
156,Leshukonskoye,100,RU,1563663734,96,64.9,45.76,46.0,5.55
157,Portobelo,40,PA,1563663736,62,9.55,-79.65,89.6,13.87
158,Whittlesea,40,AU,1563663737,66,-37.51,145.12,55.99,18.34
159,Mezen,100,RU,1563663739,88,65.85,44.24,47.26,8.72
160,Oga,0,IT,1563663740,100,46.46,10.35,57.2,3.36
161,Pierre,75,US,1563663741,54,44.37,-100.35,82.0,11.41
162,Seoul,90,KR,1563663612,100,37.57,126.98,75.2,1.12
163,Viedma,100,AR,1563663744,81,-40.81,-62.99,49.78,18.61
164,Tiksi,10,RU,1563663746,65,71.64,128.87,42.76,17.18
165,Nuuk,75,GL,1563663747,71,64.17,-51.74,55.4,5.82
166,Oranjemund,15,ZA,1563663749,59,-28.55,16.43,59.86,11.16
167,Bahia Honda,67,CU,1563663751,78,22.9,-83.16,83.8,14.47
168,Lakatoro,39,VU,1563663754,76,-16.11,167.42,76.24,14.63
169,Geraldton,75,CA,1563663755,52,49.72,-86.95,69.8,6.93
170,Hokitika,100,NZ,1563663756,67,-42.72,170.96,55.72,5.48
171,Daru,54,PG,1563663758,65,-9.07,143.21,78.94,9.71
172,Lincoln,0,GB,1563663759,72,53.23,-0.54,60.8,12.75
173,Nikolskoye,70,RU,1563663760,87,59.7,30.79,59.0,6.71
174,Makinsk,65,KZ,1563663762,78,52.63,70.42,63.46,4.16
175,New Norfolk,40,AU,1563663763,54,-42.78,147.06,55.4,18.34
176,Petropavlovsk-Kamchatskiy,40,RU,1563663764,68,53.05,158.65,69.8,6.71
177,Chavakkad,90,IN,1563663766,94,10.53,76.05,77.0,4.7
178,Wakkanai,66,JP,1563663767,93,45.41,141.67,66.16,3.67
179,Thinadhoo,75,MV,1563663768,77,0.53,72.93,83.08,13.73
180,Pizhanka,42,RU,1563663770,95,57.46,48.54,54.82,7.49
181,Mar del Plata,13,AR,1563663771,55,-46.43,-67.52,37.54,6.26
182,Norman Wells,75,CA,1563663767,50,65.28,-126.83,77.0,5.82
183,Port Macquarie,0,AU,1563663774,100,-31.43,152.91,57.0,1.99
184,Mahon,75,IE,1563663775,93,51.89,-8.4,59.0,5.82
185,Cabedelo,75,BR,1563663776,88,-6.97,-34.84,75.2,4.7
186,Moramanga,0,MG,1563663778,70,-18.95,48.23,50.14,3.65
187,Mahebourg,20,MU,1563663779,88,-20.41,57.7,70.0,5.82
188,Namatanai,80,PG,1563663780,78,-3.66,152.44,81.1,11.27
189,San Martin,1,US,1563663782,60,37.08,-121.61,88.0,12.75
190,Anadyr,75,RU,1563663784,88,64.73,177.51,62.6,11.18
191,Ahuimanu,75,US,1563663786,94,21.44,-157.84,87.01,12.75
192,San Cristobal,56,HN,1563663787,66,14.68,-86.92,74.98,7.29
193,Buluang,75,PH,1563663789,78,10.47,123.98,82.4,1.77
194,Karasjok,34,NO,1563663790,82,69.47,25.52,55.4,11.41
195,Aksarka,2,RU,1563663792,73,66.56,67.8,63.28,3.62
196,Waingapu,60,ID,1563663794,80,-9.65,120.26,72.64,12.97
197,Salamanca,75,MX,1563663795,39,20.57,-101.19,80.6,8.05
198,Batagay-Alyta,89,RU,1563663796,42,67.8,130.41,58.24,18.9
199,Pangnirtung,89,CA,1563663798,68,66.15,-65.72,53.38,4.12
200,Poronaysk,100,RU,1563663800,83,49.22,143.1,69.22,6.58
201,La Grande,1,US,1563663801,19,45.32,-118.09,86.0,4.7
202,Aljezur,0,PT,1563663802,74,37.31,-8.8,72.0,19.37
203,Lufilufi,84,WS,1563663804,78,-13.87,-171.6,82.0,10.58
204,Mana,34,NG,1563663805,61,13.03,5.27,80.56,10.42
205,Itaituba,28,BR,1563663806,64,-4.26,-55.99,77.68,2.42
206,Beibei,40,CN,1563663808,100,29.83,106.43,78.8,2.24
207,Balkhash,0,KZ,1563663809,50,46.84,74.98,73.54,8.32
208,Matagami,81,NG,1563663810,97,9.67,8.4,68.86,6.17
209,Bilma,93,NE,1563663812,34,18.69,12.92,90.82,5.59
210,Shasta Lake,1,US,1563663813,24,40.68,-122.36,97.0,6.49
211,Yazman,0,SY,1563663815,72,36.74,38.46,71.2,3.96
212,Takoradi,59,GH,1563663816,95,4.89,-1.75,73.36,3.74
213,Marfino,40,RU,1563663818,93,56.07,37.56,64.0,8.95
214,Kibala,20,TD,1563663819,88,9.11,18.35,78.8,4.0
215,Ilulissat,75,GL,1563663821,76,69.22,-51.1,51.8,3.36
216,Schwabisch Hall,40,DE,1563663822,56,49.11,9.74,73.4,5.82
217,West Wendover,1,US,1563663823,15,40.74,-114.07,91.4,8.05
218,Buraydah,0,SA,1563663825,28,26.33,43.97,86.0,6.93
219,Longyearbyen,75,NO,1563663826,87,78.22,15.63,42.8,8.05
220,Ambanja,85,MG,1563663827,76,-13.68,48.45,77.14,6.78
221,Tornio,0,FI,1563663829,77,61.12,27.27,60.8,3.36
222,Chokurdakh,100,RU,1563663830,74,70.62,147.9,40.42,14.9
223,Soyo,0,AO,1563663832,84,-6.13,12.37,71.92,6.8
224,Mehamn,0,NO,1563663833,76,71.03,27.85,51.58,2.91
225,Castro,90,CL,1563663836,100,-42.48,-73.76,41.0,6.93
226,Yumen,100,CN,1563663837,46,40.29,97.04,71.02,12.37
227,Achalpur,20,IN,1563663838,88,21.25,77.51,74.62,4.18
228,Birao,88,CF,1563663840,97,10.3,22.78,70.12,4.16
229,Mnogovershinnyy,100,RU,1563663841,96,53.94,139.92,51.4,8.68
230,Cabo San Lucas,40,MX,1563663767,54,22.89,-109.91,87.8,16.11
231,Saint-Augustin,75,CA,1563663844,74,45.63,-73.98,87.01,17.22
232,Artyom,40,RU,1563663845,78,43.36,132.19,78.8,13.42
233,Vanimo,28,PG,1563663847,79,-2.67,141.3,81.28,5.14
234,Verkhoyansk,79,RU,1563663848,39,67.55,133.39,62.02,5.66
235,Kavaratti,100,IN,1563663850,81,10.57,72.64,81.1,25.01
236,Thompson,40,CA,1563663724,37,55.74,-97.86,68.0,5.82
237,Humboldt,7,CA,1563663852,64,52.21,-105.12,68.14,4.47
238,Novosergiyevka,0,RU,1563663854,86,52.08,53.65,60.94,7.58
239,Kenai,90,US,1563663855,72,60.55,-151.26,66.99,11.41
240,Demirci,61,TR,1563663856,10,39.05,28.66,75.0,58.0
241,Tsumeb,0,NA,1563663858,14,-19.25,17.72,57.52,9.86
242,Qaqortoq,40,GL,1563663859,58,60.72,-46.03,59.0,14.99
243,Alofi,52,NU,1563663861,74,-19.06,-169.92,80.6,11.41
244,Basoda,0,IN,1563663862,63,23.85,77.92,82.72,5.03
245,Inhambane,91,MZ,1563663864,69,-23.87,35.38,62.56,11.72
246,Strezhevoy,75,RU,1563663865,68,60.73,77.6,64.4,8.95
247,Lorengau,94,PG,1563663866,84,-2.02,147.27,79.84,12.35
248,Ahipara,34,NZ,1563663868,100,-35.17,173.16,57.0,15.32
249,Bako,83,BF,1563663869,59,12.29,-0.73,79.12,4.32
250,Padilla,40,CO,1563663870,49,3.23,-76.31,89.6,13.87
251,Morgan City,1,US,1563663872,88,29.7,-91.21,80.6,3.36
252,Naxos,0,GR,1563663626,53,37.11,25.38,79.0,19.46
253,Yulara,0,AU,1563663874,61,-25.24,130.99,48.2,8.05
254,Sabang,100,PH,1563663876,84,13.8,121.11,82.0,2.8
255,Xai-Xai,100,MZ,1563663878,76,-25.04,33.64,60.58,12.75
256,Keti Bandar,0,PK,1563663879,81,24.14,67.45,82.36,14.0
257,Sao Miguel do Araguaia,1,BR,1563663881,39,-13.28,-50.16,71.38,3.4
258,Tomatlan,78,MX,1563663882,63,19.93,-105.25,84.52,5.28
259,Vestmannaeyjar,65,IS,1563663884,93,63.44,-20.27,51.94,9.73
260,Iqaluit,90,CA,1563663885,93,63.75,-68.52,41.0,14.99
261,Biltine,100,TD,1563663887,65,14.53,20.93,81.1,16.67
262,Marsh Harbour,15,BS,1563663888,72,26.54,-77.06,84.7,9.6
263,Avera,1,US,1563663889,52,33.19,-82.53,93.2,5.82
264,Hagere Hiywet,78,ET,1563663891,93,8.98,37.85,52.48,2.51
265,Morant Bay,20,JM,1563663740,49,17.88,-76.41,89.6,28.86
266,Novyy Urengoy,35,RU,1563663895,55,66.08,76.63,70.48,5.37
267,Port-Gentil,20,GA,1563663619,94,-0.72,8.78,75.2,6.93
268,Teguldet,85,RU,1563663898,86,57.31,88.17,50.5,4.32
269,Sete,22,NP,1563663899,91,27.58,86.44,66.52,1.83
270,Coahuayana,66,MX,1563663900,81,18.62,-100.35,78.04,0.87
271,Auki,5,NG,1563663902,77,12.18,6.51,73.72,9.13
272,Berezovyy,100,RU,1563663904,93,51.67,135.7,63.64,2.13
273,Avarua,53,CK,1563663906,60,-21.21,-159.78,75.2,9.17
274,Zhezkazgan,16,KZ,1563663907,33,47.8,67.71,76.78,9.75
275,Berdigestyakh,0,RU,1563663909,45,62.1,126.7,63.82,5.14
276,Tuatapere,83,NZ,1563663910,98,-46.13,167.69,48.0,15.23
277,Sao Felix do Xingu,36,BR,1563663912,61,-6.64,-51.99,74.26,3.0
278,Forestville,75,CA,1563663913,64,48.74,-69.09,71.6,11.41
279,Boditi,89,ET,1563663914,96,6.95,37.86,61.48,1.7
280,Limoux,75,FR,1563663916,94,43.05,2.22,75.2,1.12
281,Sambava,99,MG,1563663917,81,-14.27,50.17,69.76,2.13
282,Balingasay,100,PH,1563663918,78,16.36,119.86,83.44,13.2
283,Lavrentiya,100,RU,1563663920,91,65.58,-170.99,45.1,5.5
284,Alice Town,16,BS,1563663787,76,25.72,-79.3,83.44,12.1
285,San Quintin,100,PH,1563663922,81,17.54,120.52,80.56,2.26
286,Vila Velha,40,BR,1563663928,74,-3.71,-38.6,79.0,9.17
287,Dhidhdhoo,88,MV,1563663929,78,6.88,73.1,82.18,21.9
288,Ostrovnoy,0,RU,1563663930,78,68.05,39.51,41.14,0.51
289,Aurangabad,100,IN,1563663932,92,19.87,75.33,75.16,3.65
290,Nouadhibou,0,MR,1563663858,69,20.93,-17.03,73.4,10.29
291,Shaowu,20,CN,1563663935,82,27.34,117.49,82.72,2.24
292,Ryotsu,100,JP,1563663937,88,38.08,138.43,77.0,6.93
293,Kedougou,97,SN,1563663939,95,12.56,-12.19,73.54,5.23
294,Huambo,0,AO,1563663941,32,-12.78,15.73,48.16,2.08
295,Viseu,75,PT,1563663942,93,40.66,-7.91,64.99,13.87
296,Jalu,0,LY,1563663944,41,29.03,21.55,78.76,14.61
297,Zheleznodorozhnyy,20,RU,1563663945,88,55.75,38.0,64.0,6.71
298,Metro,98,ID,1563663947,86,-5.11,105.31,75.7,3.13
299,Phetchabun,100,TH,1563663948,98,16.42,101.16,71.56,1.88
300,Masuda,90,JP,1563663950,88,34.68,131.85,78.8,3.36
301,Henties Bay,0,NA,1563663951,89,-22.12,14.28,54.0,3.47
302,Morros,40,BR,1563663953,94,-2.87,-44.04,75.2,2.24
303,Weatherford,20,US,1563663873,39,32.76,-97.8,99.0,17.22
304,Orlik,0,PL,1563663956,93,53.95,17.74,66.0,2.24
305,Uyovu,74,TZ,1563663957,47,-3.28,31.53,72.1,3.13
306,Uch,0,FR,1563663959,88,45.32,-0.93,69.01,4.7
307,Raudeberg,100,NO,1563663960,93,61.99,5.14,59.0,8.05
308,Bouar,54,CF,1563663962,97,5.94,15.59,64.18,2.93
309,Coos Bay,1,US,1563663711,72,43.37,-124.22,71.01,24.16
310,Bitung,20,ID,1563663964,94,1.44,125.19,73.4,1.12
311,Fort Nelson,40,CA,1563663965,34,58.81,-122.69,80.6,4.7
312,Sangin,0,AF,1563663967,13,32.07,64.85,80.92,9.06
313,Yerbogachen,2,RU,1563663968,46,61.28,108.01,60.22,13.96
314,La Crosse,90,US,1563663802,78,43.8,-91.24,73.99,3.36
315,Gien,45,FR,1563663971,78,47.69,2.63,70.0,4.99
316,Myrtle Beach,1,US,1563663972,52,33.7,-78.89,93.2,3.36
317,Pisco,0,PE,1563663974,30,-13.71,-76.2,71.6,6.93
318,Luwuk,86,ID,1563663975,93,-0.95,122.79,64.9,5.61
319,Walvis Bay,0,NA,1563663976,34,-22.95,14.51,68.0,3.8
320,Warkworth,26,NZ,1563663978,95,-36.4,174.66,55.99,3.47
321,San Carlos de Bariloche,90,AR,1563663818,89,-41.13,-71.31,32.0,9.48
322,San Patricio,25,PY,1563663980,73,-26.98,-56.83,70.3,12.71
323,Amarillo,1,US,1563663902,24,35.21,-101.83,104.0,23.04
324,Menongue,0,AO,1563663983,33,-14.66,17.68,49.24,3.8
325,Galeana,22,MX,1563663985,42,24.83,-100.08,73.0,8.34
326,Zavodoukovsk,81,RU,1563663986,90,56.51,66.54,63.46,2.35
327,Kavali,54,IN,1563663988,76,14.91,79.99,81.46,5.95
328,The Valley,40,AI,1563663884,69,18.22,-63.06,86.0,9.17
329,Manacapuru,75,BR,1563663967,55,-3.3,-60.62,86.0,11.41
330,Port Lincoln,20,AU,1563663992,68,-34.72,135.86,57.88,23.02
331,Flin Flon,75,CA,1563663993,42,54.77,-101.88,68.0,3.36
332,Laguna,75,BZ,1563663995,79,16.17,-88.94,84.2,6.93
333,Boffa,100,GN,1563663996,83,10.18,-14.04,78.04,5.79
334,Garden City,1,US,1563663871,13,43.62,-116.24,90.0,14.99
335,Haines Junction,74,CA,1563663998,46,60.75,-137.51,66.34,8.1
336,Changtu,100,CN,1563664000,89,42.78,124.11,75.16,6.55
337,Tshikapa,0,CD,1563664001,29,-6.42,20.79,67.96,2.08
338,Misratah,0,LY,1563664003,73,32.38,15.09,77.14,10.76
339,Venice,20,US,1563664004,94,27.1,-82.45,75.2,9.17
340,Melfi,5,IT,1563664006,94,41.0,15.66,71.6,2.24
341,Assiniboia,74,CA,1563663747,61,49.63,-105.99,67.6,10.42
342,Merauke,44,ID,1563664009,77,-8.49,140.4,75.7,19.1
343,Almaznyy,0,RU,1563664010,63,48.03,40.04,64.4,2.24
344,Caravelas,23,BR,1563664012,77,-17.73,-39.27,71.38,14.07
345,Bozeman,1,US,1563663780,22,45.68,-111.04,75.2,5.82
346,Sorland,41,NO,1563664014,95,67.67,12.69,52.48,15.61
347,Boulder City,1,US,1563664015,7,35.98,-114.83,104.0,19.46
348,Erdemli,0,TR,1563664017,44,36.61,34.31,75.52,9.19
349,San Pedro,100,AR,1563664018,84,-33.68,-59.66,66.99,1.01
350,Maniitsoq,11,GL,1563663761,83,65.42,-52.9,47.44,12.62
351,Rognan,20,NO,1563664022,93,67.1,15.4,59.0,2.24
352,Salas,0,PE,1563664023,29,-6.27,-79.61,66.2,16.11
353,Goure,12,NE,1563664024,40,13.98,10.27,87.4,11.27
354,Cherskiy,99,RU,1563664025,49,68.75,161.3,49.06,10.16
355,Beroroha,0,MG,1563664027,93,-21.68,45.17,55.18,1.1
356,Bow Island,75,CA,1563664028,38,49.87,-111.38,73.4,17.22
357,Bull Savanna,7,JM,1563664030,77,17.89,-77.59,84.7,15.08
358,Kasungu,58,MW,1563664032,84,-13.04,33.48,53.92,2.77
359,Baghdad,0,IQ,1563663970,31,33.3,44.38,89.6,9.17
360,Bathurst,0,AU,1563664035,44,-33.42,149.58,60.01,5.99
361,Kang,0,BW,1563664037,39,-23.67,22.79,46.0,8.88
362,Chapais,75,CA,1563664038,82,49.78,-74.86,68.0,6.93
363,Kieta,1,PG,1563664039,74,-6.22,155.63,82.9,9.93
364,Dakoro,47,NE,1563664041,43,14.51,6.76,89.02,14.32
365,Lebu,40,ET,1563664042,87,8.96,38.73,55.4,2.24
366,Hervey Bay,3,AU,1563664044,82,-25.3,152.85,66.0,6.93
367,Forbes,0,AU,1563664045,34,-33.38,148.01,59.0,1.01
368,Waldkirchen,82,AT,1563664046,64,48.73,13.6,73.99,1.99
369,Camacha,40,PT,1563664048,88,33.08,-16.33,73.4,8.05
370,Havre-Saint-Pierre,90,CA,1563663800,87,50.23,-63.6,57.2,8.05
371,Fondi,0,IT,1563664051,94,41.36,13.43,77.0,2.24
372,Abu Samrah,0,SY,1563664052,78,35.3,37.18,68.68,10.92
373,Elbistan,0,TR,1563664053,74,38.2,37.19,58.78,6.33
374,Mayskiy,90,RU,1563664055,69,43.63,44.06,73.4,2.24
